-7.69747,0.354959,3.91008,0.0785772,-18.2941,0.179335,-1.07063,0.430118,0.347739,0.191906
-7.67964,0.352959,3.94676,0.096851,-17.1107,0.137021,-1.06231,0.16995,0.424093,0.204857
-7.57613,0.274657,3.99847,0.0934182,-17.6379,0.0771436,-1.13824,0.277678,0.577768,0.335575
-7.41561,0.113365,3.74958,0.127735,-17.55,0.161702,-1.09212,0.14346,0.743625,0.498801
-7.51131,0.153278,3.86012,0.077644,-15.2463,0.0972056,-1.07334,0.229262,0.697627,0.426798
-7.41044,0.261275,3.816,0.148127,-19.4594,0.146311,-1.06438,0.0735524,0.768626,0.384441
-7.52142,0.269823,3.78771,0.201475,-17.1997,0.0860079,-1.05868,0.228438,0.609228,0.42348
-7.5,0.277345,3.67348,0.154046,-20.7546,0.118194,-1.1476,0.185545,0.623886,0.368517
-7.31165,0.190908,3.77367,0.0609226,-18.774,0.0722377,-1.21955,0.202851,0.851758,0.424421
-7.50882,0.266547,3.65252,0.251326,-21.7286,0.109081,-1.15935,0.0834917,0.549506,0.424364
-7.54294,0.368089,3.85974,0.106762,-19.2982,0.0619092,-1.17172,0.083926,0.589254,0.170443
-7.5176,0.372981,3.78764,0.124162,-18.2652,0.174735,-1.01404,0.137091,0.620661,0.183529
-7.5116,0.427366,3.9183,0.0652429,-21.3269,0.23446,-1.0288,0.131862,0.556733,0.136354
-7.48932,0.422285,3.93795,0.077401,-19.7789,0.102685,-0.92135,0.0983843,0.571882,0.0945511
-7.40254,0.417205,3.75118,0.125405,-16.4996,0.125965,-0.703956,0.0432012,0.683893,0.0611
-7.43013,0.388432,3.52284,0.216302,-13.9313,0.117609,-0.608566,0.201938,0.639118,0.129702
-7.42586,0.395863,3.56622,0.172676,-14.1849,0.106329,-0.616738,0.194169,0.67093,0.125878
-7.34164,0.310601,3.31783,0.235521,-13.9993,0.0833064,-0.52239,0.198747,0.690269,0.298623
-7.40812,0.389053,3.35924,0.222447,-17.2025,0.134269,-0.682733,0.0985564,0.600827,0.243752
